Šifra;Naziv;Serijski broj;Status;Lokacija;Trenutna vrednost
109-300-0066;MONITOR TFT 18.5 ASUS VH192D;SN109-300-0066;available;;1000
109-610-0074;PODNA OBLOGA BEZ FOLIJE;SN109-610-0074;available;;1000
109-600-0022;EPSON PROJEKTOR EB-X49;SN109-600-0022;damaged;;1000
091-125-0001;BAŠTENSKI JASTUCI;SN091-125-0001;available;;1000
091-610-0024;USISIVAČ WDDM 60-3;SN091-610-0024;available;;1000
126-100-001;ŠTAND TIP A;SN126-100-001;available;;1000
126-100-002;ŠTAND TIP B;SN126-100-002;available;;1000
126-100-003;ŠTAND TIP C;SN126-100-003;available;;1000
126-100-004;ŠTAND TIP D;SN126-100-004;available;;1000
126-100-005;ŠTAND TIP F;SN126-100-005;available;;1000
126-100-006;ŠTAND TIP E OCTALUMINA;SN126-100-006;available;;1000
126-100-007;ŠTAND OCTALUMINA + OCTAWALL;SN126-100-007;available;;1000
021-001-001;STEPENIŠTE;SN021-001-001;available;;1000
091-440-0013;ŠANK;SN091-440-0013;available;;1000
023-101-0002;VIDEO NADZOR;SN023-101-0002;available;;1000
109-300-0112;LAPTOP HONOR;SN109-300-0112;available;;1000
109-300-0111;MONITOR DELL 52721H;SN109-300-0111;available;;1000
126-100-008;INFO PULT COUNTER;SN126-100-008;available;;1000
023-102-0001;SPOLJASNJI PROSTOR;SN023-102-0001;available;;1000
109-600-0026;TELEVIZOR LG 43NANO763QA;SN109-600-0026;available;;1000
109-300-0110;LAPTOP ASUS X515FA-EJ311;SN109-300-0110;available;;1000
091-125-0003;ZAVESE BELE;SN091-125-0003;available;;1000
091-125-0002;POMIJERA;SN091-125-0002;available;;1000
023-101-0001;REFLEKTORI HALA;SN023-101-0001;available;;1000
125-001-0001;GASNI KOMBI BOJLER;SN125-001-0001;available;;1000
109-300-0109;LAP TOP LENOVOVO IDEAPAD 3;SN109-300-0109;available;;1000
109-300-0108;LAP TOP LENOVOVO IDEAPAD 3;SN109-300-0108;available;;1000
045-100-0001;AUTOMATSKA RAMPA;SN045-100-0001;available;;1000
091-410-0027;KLUB FOTELJA UNA STOF SIVI;SN091-410-0027;available;;1000
091-410-0026;KLUB DVOSED SQUARE 2 STOF;SN091-410-0026;available;;1000
091-410-0025;KLUB TROSED SQUARE 3 STOF;SN091-410-0025;available;;1000
109-600-0025;TCL TELEVIZOR SMART;SN109-600-0025;available;;1000
109-300-0107;LAPTOP HP 255 G8;SN109-300-0107;available;;1000
023-100-0001;OGRADA;SN023-100-0001;available;;1000
109-600-0020;PROJEKTOR BENQ MS 531;SN109-600-0020;damaged;;1000
108-400-0010;KLIMA GREE ECO;SN108-400-0010;available;;1000
109-300-0106;LAPTOP LENOVO V15 G1;SN109-300-0106;available;;1000
109-300-0105;ASUS PROART 27 IPS QHD;SN109-300-0105;available;;1000
109-600-0024;TOTEM;SN109-600-0024;available;;1000
090-233-0001;KONTEJNER;SN090-233-0001;available;;1000
109-300-0104;PC G6400T-racunar;SN109-300-0104;available;;1000
109-300-0103;HP LJ PRO M203DN-stampac;SN109-300-0103;available;;1000
109-300-0102;LENOVO V14ADA 82C800E4YA;SN109-300-0102;available;;1000
091-420-0013;ZASTAVE I STALAK;SN091-420-0013;available;;1000
109-600-0023;TOTEM;SN109-600-0023;available;;1000
090-231-0012;SMART TERMINAL-fiskalna kasa;SN090-231-0012;available;;1000
109-300-0101;CANON MFP PIXMA stampac;SN109-300-0101;available;;1000
108-300-0009;KOTAO BERETA-GAS;SN108-300-0009;available;;1000
